,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
02/18/2022,FEBRERO,2022,LA VEGA,JIMA ABAJO,SAN BARTOLO (BARTOLOMÉ),00165 RCS,VIVIENDAS,794.62,48948592
02/18/2022,FEBRERO,2022,LA VEGA,LA VEGA,RESIDENCIAL DON ZOILO,00137 RCS,APARTAMENTOS,855.88,52722208
02/18/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO NORTE,CIUDAD MODELO O SATÉLITE,91760-3,APARTAMENTOS,0,0
02/21/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LA ESPERILLA,93937,APARTAMENTOS,5857.49,360821384
02/21/2022,FEBRERO,2022,SANTO DOMINGO,LOS ALCARRIZOS,RESIDENCIAL LOS HIDALGOS,93953,APARTAMENTOS,240.32,14803712
02/22/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,BELLA VISTA,93958,APARTAMENTOS,4579.23,282080568
02/22/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,NUEVO ARROYO HONDO,93956,APARTAMENTOS,640,39424000
02/22/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,RENACIMIENTO,93957,COMERCIAL Y OFICINAS,480,29568000
02/22/2022,FEBRERO,2022,LA ALTAGRACIA,HIGÜEY,PUEBLO BÁVARO,93954,APARTAMENTOS,46869.64,2680943408
02/22/2022,FEBRERO,2022,SANTIAGO,PUÑAL,URBANIZACIÓN JARDINES DEL SUR,22799 RN,APARTAMENTOS,1810.68,111537888
02/22/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,GURABO O FLOR DE GURABO,22800 RN,APARTAMENTOS,541.11,33332376
02/22/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,RESIDENCIAL VILLA MARíA,22798 RN,VIVIENDAS,380.23,23422168
02/22/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,RIVIERA DEL CARIBE,93955,APARTAMENTOS,27504.48,1573256256
02/23/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,CIUDAD COLONIAL,93960,APARTAMENTOS,456.76,28136416
02/23/2022,FEBRERO,2022,DUARTE,SAN FRANCISCO DE MACORÍS,LAS CEJAS,338 RNE,APARTAMENTOS,1577.42,97169072
02/23/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LA FARDIQUERA,93959,VIVIENDAS,480,29568000
02/23/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,RESIDENCIAL VILLA MARíA,22801 RN,VIVIENDAS,340.07,20948312
02/24/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS CACICAZGOS,93961,APARTAMENTOS,3655.61,225185576
02/24/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS CACICAZGOS,OF-001-22,APARTAMENTOS,0,0
02/24/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,93963,APARTAMENTOS,623.07,38381112
02/24/2022,FEBRERO,2022,SANTO DOMINGO,SANTO DOMINGO OESTE,ALAMEDA,93962,COMERCIAL Y OFICINAS,11944,735750400
02/25/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,CERROS DE ARROYO HONDO,93964,VIVIENDAS,324.73,20003368
